Store,Refilled_location,# of completed tasks,Refilled_pieces,Est. TO (LCY),Est. TO (EUR),% of Est. TO (LCY)
274 - IKEA Barendrecht,S02I20,5,346,1158.14,1158.14,0.002861
274 - IKEA Barendrecht,000200,7,267,1157.57,1157.57,0.00286
274 - IKEA Barendrecht,S02N16,10,169,1105.56,1105.56,0.002731
274 - IKEA Barendrecht,S04E08,19,115,1103.85,1103.85,0.002727
274 - IKEA Barendrecht,S01T25,21,162,1092.98,1092.98,0.0027
274 - IKEA Barendrecht,S04K09,7,216,1077.84,1077.84,0.002663
274 - IKEA Barendrecht,S04G12,7,586,1052.14,1052.14,0.002599
274 - IKEA Barendrecht,S01Q25,6,105,1048.95,1048.95,0.002591
274 - IKEA Barendrecht,S09O08,4,71,1037.49,1037.49,0.002563
274 - IKEA Barendrecht,S01U17,6,103,1028.97,1028.97,0.002542
274 - IKEA Barendrecht,M14T10,5,1105,1028.95,1028.95,0.002542
274 - IKEA Barendrecht,S07B23,7,216,1025.84,1025.84,0.002534
274 - IKEA Barendrecht,000401,1,204,1017.96,1017.96,0.002515
274 - IKEA Barendrecht,S96Q04,17,484,976.36,976.36,0.002412
274 - IKEA Barendrecht,S01U18,4,240,960,960,0.002371
274 - IKEA Barendrecht,S08E18,11,62,949.38,949.38,0.002345
274 - IKEA Barendrecht,KASP02,1,152,910.48,910.48,0.002249
274 - IKEA Barendrecht,S03MW1,7,267,905.33,905.33,0.002236
274 - IKEA Barendrecht,S02J16,2,60,899.4,899.4,0.002222
274 - IKEA Barendrecht,S02I16,2,90,899.1,899.1,0.002221
274 - IKEA Barendrecht,S02P16,7,427,868.23,868.23,0.002145
274 - IKEA Barendrecht,S04E09,9,46,829.54,829.54,0.002049
274 - IKEA Barendrecht,S01O25,11,247,821.75,821.75,0.00203
274 - IKEA Barendrecht,M11N08,18,135,820.05,820.05,0.002026
274 - IKEA Barendrecht,S07D20,3,410,815.9,815.9,0.002015
274 - IKEA Barendrecht,M11CM1,2,64,809.36,809.36,0.001999
274 - IKEA Barendrecht,S04G09,10,92,809.08,809.08,0.001999
274 - IKEA Barendrecht,S08G18,4,218,791.82,791.82,0.001956
274 - IKEA Barendrecht,S04A08,4,44,789.56,789.56,0.00195
274 - IKEA Barendrecht,S01R20,7,78,779.22,779.22,0.001925
274 - IKEA Barendrecht,S01R19,10,405,769.55,769.55,0.001901
274 - IKEA Barendrecht,S04G13,10,155,769.39,769.39,0.001901
274 - IKEA Barendrecht,M18VM5,11,309,768.41,768.41,0.001898
274 - IKEA Barendrecht,S07B25,10,125,748.75,748.75,0.00185
274 - IKEA Barendrecht,S04F07,8,84,747.16,747.16,0.001846
274 - IKEA Barendrecht,S08F16,4,76,727.24,727.24,0.001796
274 - IKEA Barendrecht,S07G25,11,363,722.37,722.37,0.001784
274 - IKEA Barendrecht,S09O12,4,40,719.6,719.6,0.001778
274 - IKEA Barendrecht,S02M16,2,180,718.2,718.2,0.001774
274 - IKEA Barendrecht,S09Q09,4,188,711.2,711.2,0.001757
274 - IKEA Barendrecht,S04H11,3,70,699.3,699.3,0.001727
274 - IKEA Barendrecht,S02K15,4,118,668.82,668.82,0.001652
274 - IKEA Barendrecht,S04B14,3,80,639.2,639.2,0.001579
274 - IKEA Barendrecht,S07E19,18,635,628.65,628.65,0.001553
274 - IKEA Barendrecht,S08G16,10,78,626.22,626.22,0.001547
274 - IKEA Barendrecht,S04H13,7,125,623.75,623.75,0.001541
274 - IKEA Barendrecht,S01R18,7,200,623.55,623.55,0.00154
274 - IKEA Barendrecht,S96R09,3,102,612,612,0.001512
274 - IKEA Barendrecht,S01U22,14,97,606.03,606.03,0.001497
274 - IKEA Barendrecht,M10J16,4,97,598.03,598.03,0.001477
274 - IKEA Barendrecht,S00X12,1,200,598,598,0.001477
274 - IKEA Barendrecht,S01R16,16,368,595.12,595.12,0.00147
274 - IKEA Barendrecht,S01O21,5,27,590.73,590.73,0.001459
274 - IKEA Barendrecht,S96Q03,3,996,587.64,587.64,0.001452
274 - IKEA Barendrecht,000105,1,116,578.84,578.84,0.00143
274 - IKEA Barendrecht,S01P23,15,146,568.54,568.54,0.001404
274 - IKEA Barendrecht,S01Q20,6,37,554.63,554.63,0.00137
274 - IKEA Barendrecht,S96R05,14,208,545.42,545.42,0.001347
274 - IKEA Barendrecht,S04L07,6,133,529.67,529.67,0.001308
274 - IKEA Barendrecht,S01O26,5,25,499.75,499.75,0.001235
274 - IKEA Barendrecht,M15VM3,3,19,498.81,498.81,0.001232
274 - IKEA Barendrecht,S02M19,1,124,494.76,494.76,0.001222
274 - IKEA Barendrecht,S01Q19,9,355,491.45,491.45,0.001214
274 - IKEA Barendrecht,S03K25,8,467,481.53,481.53,0.00119
274 - IKEA Barendrecht,S01U26,9,55,473.45,473.45,0.00117
274 - IKEA Barendrecht,S08H16,12,100,450.5,450.5,0.001113
274 - IKEA Barendrecht,S01P19,8,45,449.55,449.55,0.001111
274 - IKEA Barendrecht,M00T08,1,200,438,438,0.001082
274 - IKEA Barendrecht,S09Q07,3,108,432,432,0.001067
274 - IKEA Barendrecht,S00V15,5,67,423.33,423.33,0.001046
274 - IKEA Barendrecht,S96R10,2,60,419.4,419.4,0.001036
274 - IKEA Barendrecht,M10CM1,5,125,416.25,416.25,0.001028
274 - IKEA Barendrecht,S07C19,2,104,414.96,414.96,0.001025
